Year,China,India,Indonesia,Pakistan,United States
1970,849000000,568000000,118000000,59700000,211000000
1971,869000000,581000000,121000000,61400000,213000000
1972,889000000,595000000,124000000,63100000,215000000
1973,908000000,609000000,127000000,64900000,217000000
1974,926000000,623000000,131000000,66800000,219000000
1975,943000000,638000000,134000000,68800000,221000000
1976,958000000,652000000,137000000,71000000,223000000
1977,972000000,667000000,141000000,73200000,225000000
1978,986000000,683000000,144000000,75600000,227000000
1979,1000000000,699000000,147000000,78100000,229000000
1980,1010000000,715000000,151000000,80700000,232000000
1981,1030000000,732000000,154000000,83400000,234000000
1982,1040000000,749000000,158000000,86300000,236000000
1983,1060000000,767000000,162000000,89200000,238000000
1984,1080000000,784000000,165000000,92200000,240000000
1985,1100000000,802000000,168000000,95200000,243000000
1986,1120000000,820000000,172000000,98300000,245000000
1987,1140000000,837000000,175000000,101000000,247000000
1988,1160000000,855000000,178000000,105000000,250000000
1989,1180000000,873000000,181000000,108000000,252000000
1990,1190000000,891000000,185000000,111000000,255000000
1991,1210000000,909000000,188000000,114000000,257000000
1992,1220000000,927000000,191000000,117000000,260000000
1993,1230000000,946000000,194000000,120000000,262000000
1994,1240000000,964000000,197000000,124000000,265000000
1995,1250000000,982000000,200000000,127000000,268000000
1996,1260000000,1000000000,203000000,131000000,272000000
1997,1270000000,1020000000,206000000,135000000,275000000
1998,1280000000,1040000000,209000000,139000000,279000000
1999,1290000000,1060000000,212000000,142000000,282000000
2000,1300000000,1080000000,214000000,146000000,285000000
2001,1310000000,1090000000,217000000,150000000,287000000
2002,1320000000,1110000000,220000000,153000000,290000000
2003,1320000000,1130000000,223000000,157000000,292000000
2004,1330000000,1150000000,226000000,160000000,295000000
2005,1340000000,1170000000,229000000,164000000,298000000
2006,1350000000,1180000000,232000000,168000000,301000000
2007,1350000000,1200000000,235000000,172000000,303000000
2008,1360000000,1220000000,239000000,176000000,306000000
2009,1370000000,1230000000,242000000,179000000,309000000
2010,1380000000,1250000000,245000000,183000000,312000000
2011,1380000000,1270000000,248000000,187000000,314000000
2012,1390000000,1280000000,252000000,191000000,316000000
2013,1400000000,1300000000,255000000,195000000,319000000
2014,1410000000,1310000000,258000000,199000000,321000000
2015,1410000000,1320000000,262000000,204000000,323000000
2016,1420000000,1340000000,265000000,208000000,325000000
2017,1430000000,1350000000,268000000,212000000,327000000
2018,1430000000,1370000000,271000000,217000000,329000000
2019,1440000000,1380000000,274000000,221000000,331000000
2020,1440000000,1390000000,276000000,225000000,333000000
2021,1450000000,1410000000,279000000,229000000,335000000
